,Rank,Gender,Forename,Incidence,Frequency,freq,gender,m,f
209,210,100%,Kenneth,"150,155","1:1,183",0.0008453085376162299,1.0,1.0,0.0
210,211,93% ,Bright,"149,579","1:1,187",0.0008424599831508003,0.93,0.93,0.06999999999999995
211,212,100%,Salamatu,"149,331","1:1,189",0.0008410428931875525,1.0,1.0,0.0
212,213,100%,Rosemary,"148,667","1:1,194",0.0008375209380234506,1.0,1.0,0.0
213,214,100%,Ramatu,"148,310","1:1,197",0.000835421888053467,1.0,1.0,0.0
214,215,100%,Jacob,"146,479","1:1,212",0.0008250825082508251,1.0,1.0,0.0
215,216,100%,Kayode,"146,257","1:1,214",0.0008237232289950577,1.0,1.0,0.0
216,217,100%,Regina,"144,057","1:1,233",0.0008110300081103001,1.0,1.0,0.0
217,218,54% ,Kelechi,"143,121","1:1,241",0.0008058017727639,0.54,0.54,0.45999999999999996
218,219,100%,Timothy,"141,631","1:1,254",0.0007974481658692185,1.0,1.0,0.0
219,220,100%,Akeem,"141,371","1:1,256",0.0007961783439490446,1.0,1.0,0.0
220,221,100%,Hassana,"140,902","1:1,260",0.0007936507936507937,1.0,1.0,0.0
221,222,98% ,Amadu,"140,813","1:1,261",0.0007930214115781126,0.98,0.98,0.020000000000000018
222,223,98% ,Ugochukwu,"140,515","1:1,264",0.0007911392405063291,0.98,0.98,0.020000000000000018
223,224,100%,Hafsat,"139,194","1:1,276",0.0007836990595611285,1.0,1.0,0.0
224,225,86% ,Onyekachi,"138,912","1:1,278",0.000782472613458529,0.86,0.86,0.14
225,226,100%,Ismaila,"138,697","1:1,280",0.00078125,1.0,1.0,0.0
226,227,100%,Ezekiel,"138,359","1:1,283",0.000779423226812159,1.0,1.0,0.0
227,228,100%,Maimuna,"138,230","1:1,285",0.0007782101167315176,1.0,1.0,0.0
228,229,100%,Jude,"138,212","1:1,285",0.0007782101167315176,1.0,1.0,0.0
229,230,100%,Nkechi,"138,022","1:1,286",0.0007776049766718507,1.0,1.0,0.0
230,231,100%,Danjuma,"138,009","1:1,287",0.000777000777000777,1.0,1.0,0.0
231,232,100%,Amos,"135,643","1:1,309",0.0007639419404125286,1.0,1.0,0.0
232,233,100%,Tunde,"135,030","1:1,315",0.0007604562737642585,1.0,1.0,0.0
233,234,100%,Danladi,"134,847","1:1,317",0.0007593014426727411,1.0,1.0,0.0
234,235,100%,Femi,"134,790","1:1,317",0.0007593014426727411,1.0,1.0,0.0
235,236,94% ,Dan,"134,668","1:1,319",0.000758150113722517,0.94,0.94,0.06000000000000005
236,237, 96%,Adama,"134,028","1:1,325",0.0007547169811320754,0.96,0.96,0.040000000000000036
237,238,100%,Basiru,"133,131","1:1,334",0.0007496251874062968,1.0,1.0,0.0
238,239,100%,Patricia,"133,054","1:1,335",0.000749063670411985,1.0,1.0,0.0
239,240,98% ,Habibu,"131,845","1:1,347",0.0007423904974016332,0.98,0.98,0.020000000000000018
240,241,100%,Kazeem,"131,363","1:1,352",0.0007396449704142012,1.0,1.0,0.0
241,242,100%,Angela,"131,350","1:1,352",0.0007396449704142012,1.0,1.0,0.0
242,243,100%,Ojo,"130,242","1:1,363",0.0007336757153338225,1.0,1.0,0.0
243,244,100%,Gbenga,"129,685","1:1,369",0.0007304601899196494,1.0,1.0,0.0
244,245,100%,Clement,"129,562","1:1,370",0.00072992700729927,1.0,1.0,0.0
245,246,71% ,Abu,"129,432","1:1,372",0.0007288629737609329,0.71,0.71,0.29000000000000004
246,247, 85%,Adeola,"129,289","1:1,373",0.0007283321194464676,0.85,0.85,0.15000000000000002
247,248,100%,Magaji,"128,901","1:1,378",0.000725689404934688,1.0,1.0,0.0
248,249,100%,Aishat,"128,797","1:1,379",0.0007251631617113851,1.0,1.0,0.0
249,250,100%,Safiya,"126,569","1:1,403",0.0007127583749109052,1.0,1.0,0.0
250,251,100%,Stanley,"126,515","1:1,404",0.0007122507122507123,1.0,1.0,0.0
251,252, 83%,Ebere,"126,063","1:1,409",0.0007097232079489,0.83,0.83,0.17000000000000004
252,253,78% ,Bassey,"125,382","1:1,416",0.0007062146892655367,0.78,0.78,0.21999999999999997
253,254,100%,Abosede,"124,458","1:1,427",0.000700770847932726,1.0,1.0,0.0
254,255,100%,Titilayo,"124,073","1:1,431",0.0006988120195667365,1.0,1.0,0.0
255,256,100%,Prince,"124,024","1:1,432",0.0006983240223463687,1.0,1.0,0.0
256,257,91% ,Uchechukwu,"123,956","1:1,432",0.0006983240223463687,0.91,0.91,0.08999999999999997
257,258,100%,Racheal,"123,954","1:1,433",0.0006978367062107466,1.0,1.0,0.0
258,259,100%,Philip,"123,252","1:1,441",0.0006939625260235947,1.0,1.0,0.0
259,260,100%,Vincent,"123,132","1:1,442",0.0006934812760055479,1.0,1.0,0.0
260,261,100%,Vivian,"122,934","1:1,444",0.0006925207756232687,1.0,1.0,0.0
261,262,97% ,Saminu,"121,663","1:1,459",0.0006854009595613434,0.97,0.97,0.030000000000000027
262,263,100%,Tukur,"121,288","1:1,464",0.0006830601092896175,1.0,1.0,0.0
263,264, 96%,Oluwatoyin,"120,717","1:1,471",0.0006798096532970768,0.96,0.96,0.040000000000000036
264,265,97% ,Chidi,"120,496","1:1,474",0.0006784260515603799,0.97,0.97,0.030000000000000027
265,266,100%,Jibrin,"120,403","1:1,475",0.0006779661016949153,1.0,1.0,0.0
266,267,100%,Evelyn,"120,223","1:1,477",0.0006770480704129993,1.0,1.0,0.0
267,268, 98%,Ogechi,"120,102","1:1,478",0.0006765899864682003,0.98,0.98,0.020000000000000018
268,269,89% ,Okon,"119,290","1:1,489",0.000671591672263264,0.89,0.89,0.10999999999999999
269,270, 96%,Chinenye,"119,223","1:1,489",0.000671591672263264,0.96,0.96,0.040000000000000036
270,271,99% ,Mohammad,"118,486","1:1,499",0.00066711140760507,0.99,0.99,0.010000000000000009
271,272,100%,Saratu,"118,297","1:1,501",0.0006662225183211193,1.0,1.0,0.0
272,273,100%,Azeez,"118,163","1:1,503",0.0006653359946773121,1.0,1.0,0.0
273,274, 95%,Chisom,"117,681","1:1,509",0.0006626905235255136,0.95,0.95,0.050000000000000044
274,275,100%,Jimoh,"117,381","1:1,513",0.0006609385327164573,1.0,1.0,0.0
275,276,100%,Bosede,"116,419","1:1,525",0.0006557377049180328,1.0,1.0,0.0
276,277,100%,Chukwuma,"115,892","1:1,532",0.0006527415143603133,1.0,1.0,0.0
277,278,100%,Martha,"114,979","1:1,544",0.0006476683937823834,1.0,1.0,0.0
278,279,100%,Funke,"114,907","1:1,545",0.0006472491909385113,1.0,1.0,0.0
279,280,100%,Beatrice,"114,797","1:1,547",0.0006464124111182935,1.0,1.0,0.0
280,281,100%,Abdulkadir,"114,546","1:1,550",0.0006451612903225806,1.0,1.0,0.0
281,282,100%,Inno,"114,298","1:1,554",0.0006435006435006435,1.0,1.0,0.0
282,283,100%,Ladi,"114,134","1:1,556",0.0006426735218508997,1.0,1.0,0.0
283,284,100%,Adewale,"113,572","1:1,563",0.0006397952655150352,1.0,1.0,0.0
284,285,100%,Richard,"113,451","1:1,565",0.0006389776357827476,1.0,1.0,0.0
285,286,100%,Abdulahi,"113,308","1:1,567",0.0006381620931716656,1.0,1.0,0.0
286,287,100%,Andrew,"113,271","1:1,568",0.0006377551020408163,1.0,1.0,0.0
287,288,100%,Kemi,"112,640","1:1,576",0.0006345177664974619,1.0,1.0,0.0
288,289,100%,Anas,"112,404","1:1,580",0.0006329113924050633,1.0,1.0,0.0
289,290,100%,Lydia,"112,350","1:1,580",0.0006329113924050633,1.0,1.0,0.0
290,291,65% ,Seun,"112,275","1:1,582",0.0006321112515802782,0.65,0.65,0.35
291,292, 65%,Tosin,"112,193","1:1,583",0.0006317119393556538,0.65,0.65,0.35
292,293, 60%,Tope,"112,125","1:1,584",0.0006313131313131314,0.6,0.6,0.4
293,294,75% ,Chigozie,"111,919","1:1,587",0.000630119722747322,0.75,0.75,0.25
294,295,100%,Anthonia,"111,819","1:1,588",0.0006297229219143577,1.0,1.0,0.0
295,296, 87%,Chidinma,"111,310","1:1,595",0.0006269592476489029,0.87,0.87,0.13
296,297,100%,Lawrence,"110,880","1:1,601",0.0006246096189881324,1.0,1.0,0.0
297,298,100%,Oluwakemi,"110,266","1:1,610",0.0006211180124223603,1.0,1.0,0.0
298,299,100%,Caroline,"110,212","1:1,611",0.0006207324643078833,1.0,1.0,0.0
299,300,99% ,Adebayo,"109,829","1:1,617",0.0006184291898577613,0.99,0.99,0.010000000000000009
300,301,100%,Fatai,"108,971","1:1,629",0.0006138735420503376,1.0,1.0,0.0
301,302, 52%,Promise,"108,173","1:1,641",0.0006093845216331506,0.52,0.52,0.48
302,303,100%,Julius,"107,882","1:1,646",0.0006075334143377885,1.0,1.0,0.0
303,304,100%,Matthew,"107,678","1:1,649",0.0006064281382656155,1.0,1.0,0.0
304,305,100%,Abraham,"107,497","1:1,652",0.0006053268765133172,1.0,1.0,0.0
305,306,100%,Jonathan,"106,896","1:1,661",0.0006020469596628537,1.0,1.0,0.0
306,307,100%,Kafayat,"106,506","1:1,667",0.0005998800239952009,1.0,1.0,0.0
307,308,100%,Alhassan,"106,238","1:1,671",0.0005984440454817474,1.0,1.0,0.0
308,309, 95%,Bola,"106,184","1:1,672",0.0005980861244019139,0.95,0.95,0.050000000000000044
309,310,100%,Olalekan,"104,645","1:1,697",0.0005892751915144372,1.0,1.0,0.0
310,311,100%,Adenike,"104,209","1:1,704",0.0005868544600938967,1.0,1.0,0.0
311,312,100%,Chukwuemeka,"104,157","1:1,705",0.0005865102639296188,1.0,1.0,0.0
312,313,100%,Monica,"104,148","1:1,705",0.0005865102639296188,1.0,1.0,0.0
313,314,100%,Sabiu,"103,990","1:1,708",0.000585480093676815,1.0,1.0,0.0
314,315,100%,Amarachi,"103,152","1:1,721",0.0005810575246949448,1.0,1.0,0.0
315,316,100%,Adijat,"102,990","1:1,724",0.000580046403712297,1.0,1.0,0.0
316,317,100%,Lucy,"102,581","1:1,731",0.0005777007510109763,1.0,1.0,0.0
317,318,100%,Paulina,"102,396","1:1,734",0.0005767012687427913,1.0,1.0,0.0
