,Rank,Gender,Forename,Incidence,Frequency,freq,gender,m,f
361,362,100%,Nurudeen,"90,481","1:1,962",0.0005096839959225281,1.0,1.0,0.0
362,363, 84%,Hope,"90,468","1:1,963",0.0005094243504839531,0.84,0.84,0.16000000000000003
363,364,100%,Yetunde,"90,335","1:1,966",0.000508646998982706,1.0,1.0,0.0
364,365,100%,Loveth,"90,233","1:1,968",0.0005081300813008131,1.0,1.0,0.0
365,366,100%,Ndubuisi,"90,176","1:1,969",0.0005078720162519045,1.0,1.0,0.0
366,367,89% ,Habu,"89,992","1:1,973",0.0005068423720223011,0.89,0.89,0.10999999999999999
367,368,100%,Bukar,"89,619","1:1,981",0.0005047955577990914,1.0,1.0,0.0
368,369,100%,Shaibu,"89,320","1:1,988",0.0005030181086519115,1.0,1.0,0.0
369,370,83% ,Onyebuchi,"89,318","1:1,988",0.0005030181086519115,0.83,0.83,0.17000000000000004
370,371,100%,Bridget,"89,277","1:1,989",0.0005027652086475615,1.0,1.0,0.0
371,372,100%,Rejoice,"88,935","1:1,997",0.000500751126690035,1.0,1.0,0.0
372,373,100%,Iliyasu,"88,853","1:1,998",0.0005005005005005005,1.0,1.0,0.0
373,374,100%,Saadatu,"88,844","1:1,999",0.0005002501250625312,1.0,1.0,0.0
374,375,100%,Saleh,"88,449","1:2,008",0.00049800796812749,1.0,1.0,0.0
375,376,100%,Tijjani,"87,784","1:2,023",0.0004943153732081067,1.0,1.0,0.0
376,377, 74%,Uduak,"87,734","1:2,024",0.0004940711462450593,0.74,0.74,0.26
377,378,100%,Inusa,"87,214","1:2,036",0.0004911591355599214,1.0,1.0,0.0
378,379,100%,Nnenna,"86,875","1:2,044",0.0004892367906066536,1.0,1.0,0.0
379,380,100%,Shamsu,"86,729","1:2,047",0.0004885197850512946,1.0,1.0,0.0
380,381,100%,Omolara,"86,696","1:2,048",0.00048828125,1.0,1.0,0.0
381,382,100%,Muazu,"86,247","1:2,059",0.00048567265662943174,1.0,1.0,0.0
382,383,100%,Muktar,"86,215","1:2,060",0.0004854368932038835,1.0,1.0,0.0
383,384,100%,Joel,"86,017","1:2,064",0.00048449612403100775,1.0,1.0,0.0
384,385,100%,Mustafa,"86,015","1:2,064",0.00048449612403100775,1.0,1.0,0.0
385,386,100%,Chibuike,"85,392","1:2,079",0.000481000481000481,1.0,1.0,0.0
386,387,100%,Mubarak,"85,314","1:2,081",0.0004805382027871216,1.0,1.0,0.0
387,388,100%,Nafiu,"85,158","1:2,085",0.00047961630695443646,1.0,1.0,0.0
388,389,100%,Confidence,"84,777","1:2,094",0.0004775549188156638,1.0,1.0,0.0
389,390,100%,George,"84,338","1:2,105",0.00047505938242280285,1.0,1.0,0.0
390,391,100%,Lateef,"84,012","1:2,114",0.0004730368968779565,1.0,1.0,0.0
391,392,100%,Rasheed,"83,947","1:2,115",0.00047281323877068556,1.0,1.0,0.0
392,393, 70%,Oluwatosin,"83,691","1:2,122",0.000471253534401508,0.7,0.7,0.30000000000000004
393,394,100%,Rashida,"83,664","1:2,122",0.000471253534401508,1.0,1.0,0.0
394,395,100%,Khadija,"83,230","1:2,133",0.00046882325363338024,1.0,1.0,0.0
395,396, 94%,Ada,"83,140","1:2,136",0.00046816479400749064,0.94,0.94,0.06000000000000005
396,397,80% ,Chidiebere,"83,053","1:2,138",0.0004677268475210477,0.8,0.8,0.19999999999999996
397,398,100%,Rachael,"82,994","1:2,139",0.0004675081813931744,1.0,1.0,0.0
398,399,100%,Rashidat,"82,993","1:2,140",0.00046728971962616824,1.0,1.0,0.0
399,400,100%,Augusta,"82,962","1:2,140",0.00046728971962616824,1.0,1.0,0.0
400,401,92% ,Edet,"82,867","1:2,143",0.0004666355576294914,0.92,0.92,0.07999999999999996
401,402,100%,Cynthia,"82,287","1:2,158",0.0004633920296570899,1.0,1.0,0.0
402,403,100%,Rakiya,"82,273","1:2,158",0.0004633920296570899,1.0,1.0,0.0
403,404,100%,Fatimo,"82,259","1:2,159",0.0004631773969430292,1.0,1.0,0.0
404,405,100%,Jennifer,"82,227","1:2,159",0.0004631773969430292,1.0,1.0,0.0
405,406,100%,Lilian,"82,105","1:2,163",0.0004623208506703652,1.0,1.0,0.0
406,407,100%,Jummai,"81,944","1:2,167",0.00046146746654360867,1.0,1.0,0.0
407,408,100%,Collins,"81,917","1:2,168",0.00046125461254612545,1.0,1.0,0.0
408,409,100%,Fidelis,"81,886","1:2,168",0.00046125461254612545,1.0,1.0,0.0
409,410,80% ,Ayodele,"81,881","1:2,169",0.0004610419548178884,0.8,0.8,0.19999999999999996
410,411,100%,Zubairu,"81,816","1:2,170",0.0004608294930875576,1.0,1.0,0.0
411,412,100%,Chinwe,"81,491","1:2,179",0.0004589261128958238,1.0,1.0,0.0
412,413,100%,Khadijat,"81,263","1:2,185",0.0004576659038901602,1.0,1.0,0.0
413,414,100%,Lami,"81,163","1:2,188",0.0004570383912248629,1.0,1.0,0.0
414,415,100%,Pius,"80,822","1:2,197",0.0004551661356395084,1.0,1.0,0.0
415,416,100%,Tina,"80,439","1:2,207",0.00045310376076121433,1.0,1.0,0.0
416,417,100%,Bilikisu,"80,357","1:2,210",0.00045248868778280545,1.0,1.0,0.0
417,418,100%,Onyinyechi,"80,163","1:2,215",0.0004514672686230248,1.0,1.0,0.0
418,419,79% ,Tochukwu,"80,109","1:2,217",0.0004510599909788002,0.79,0.79,0.20999999999999996
419,420, 97%,Bunmi,"79,892","1:2,223",0.000449842555105713,0.97,0.97,0.030000000000000027
420,421, 85%,Chizoba,"79,453","1:2,235",0.00044742729306487697,0.85,0.85,0.15000000000000002
421,422,100%,Naomi,"79,439","1:2,235",0.00044742729306487697,1.0,1.0,0.0
422,423,100%,Latifat,"79,373","1:2,237",0.0004470272686633885,1.0,1.0,0.0
423,424,100%,Kudirat,"79,225","1:2,241",0.0004462293618920125,1.0,1.0,0.0
424,425,99% ,Oluwafemi,"79,065","1:2,246",0.0004452359750667854,0.99,0.99,0.010000000000000009
425,426,100%,Rachel,"78,713","1:2,256",0.0004432624113475177,1.0,1.0,0.0
426,427,100%,Gana,"78,613","1:2,259",0.0004426737494466578,1.0,1.0,0.0
427,428,100%,Jane,"78,473","1:2,263",0.0004418912947414936,1.0,1.0,0.0
428,429,100%,Olawale,"78,086","1:2,274",0.00043975373790677223,1.0,1.0,0.0
429,430,100%,Isyaku,"78,020","1:2,276",0.0004393673110720562,1.0,1.0,0.0
430,431, 92%,Emem,"77,818","1:2,282",0.00043821209465381246,0.92,0.92,0.07999999999999996
431,432,100%,Tasiu,"77,518","1:2,291",0.00043649061545176777,1.0,1.0,0.0
432,433,62% ,Olusola,"77,512","1:2,291",0.00043649061545176777,0.62,0.62,0.38
433,434,100%,Iliya,"77,059","1:2,304",0.00043402777777777775,1.0,1.0,0.0
434,435,100%,Zakari,"76,808","1:2,312",0.00043252595155709344,1.0,1.0,0.0
435,436,100%,Olusegun,"76,713","1:2,315",0.00043196544276457883,1.0,1.0,0.0
436,437,100%,Elijah,"75,956","1:2,338",0.000427715996578272,1.0,1.0,0.0
437,438,100%,Nafisa,"75,819","1:2,342",0.0004269854824935952,1.0,1.0,0.0
438,439,100%,Kulu,"75,515","1:2,351",0.0004253509145044662,1.0,1.0,0.0
439,440,100%,Ademola,"75,464","1:2,353",0.00042498937526561835,1.0,1.0,0.0
440,441,100%,Kate,"75,308","1:2,358",0.00042408821034775233,1.0,1.0,0.0
441,442,100%,Talatu,"75,036","1:2,366",0.00042265426880811494,1.0,1.0,0.0
442,443,100%,Godson,"74,467","1:2,384",0.00041946308724832214,1.0,1.0,0.0
443,444,100%,Frank,"74,156","1:2,394",0.0004177109440267335,1.0,1.0,0.0
444,445,98% ,Buba,"74,100","1:2,396",0.00041736227045075126,0.98,0.98,0.020000000000000018
445,446,100%,Folashade,"73,597","1:2,413",0.0004144218814753419,1.0,1.0,0.0
446,447,100%,Monsurat,"73,588","1:2,413",0.0004144218814753419,1.0,1.0,0.0
447,448, 83%,Abimbola,"73,291","1:2,423",0.0004127115146512588,0.83,0.83,0.17000000000000004
448,449,100%,Afusat,"73,263","1:2,424",0.00041254125412541255,1.0,1.0,0.0
449,450,99% ,Idi,"73,166","1:2,427",0.00041203131437989287,0.99,0.99,0.010000000000000009
450,451,100%,Alex,"72,936","1:2,435",0.0004106776180698152,1.0,1.0,0.0
451,452,100%,Chukwudi,"72,888","1:2,436",0.00041050903119868636,1.0,1.0,0.0
452,453,100%,Linus,"72,631","1:2,445",0.00040899795501022495,1.0,1.0,0.0
453,454,100%,Ganiyat,"72,489","1:2,450",0.00040816326530612246,1.0,1.0,0.0
454,455,99% ,Mallam,"72,291","1:2,456",0.00040716612377850165,0.99,0.99,0.010000000000000009
455,456, 84%,Ogochukwu,"72,144","1:2,461",0.0004063388866314506,0.84,0.84,0.16000000000000003
456,457,100%,Abdulrahman,"71,698","1:2,477",0.0004037141703673799,1.0,1.0,0.0
457,458,100%,Shafiu,"71,656","1:2,478",0.0004035512510088781,1.0,1.0,0.0
458,459,100%,Mansur,"71,374","1:2,488",0.00040192926045016077,1.0,1.0,0.0
459,460,85% ,Ekene,"71,332","1:2,489",0.0004017677782241864,0.85,0.85,0.15000000000000002
460,461,100%,Ikenna,"70,493","1:2,519",0.0003969829297340214,1.0,1.0,0.0
461,462,100%,Constance,"70,477","1:2,519",0.0003969829297340214,1.0,1.0,0.0
462,463,99% ,Yahuza,"70,426","1:2,521",0.0003966679888932963,0.99,0.99,0.010000000000000009
463,464,100%,Suwaiba,"70,403","1:2,522",0.0003965107057890563,1.0,1.0,0.0
464,465,100%,Usaini,"70,309","1:2,525",0.00039603960396039607,1.0,1.0,0.0
465,466,100%,Bilkisu,"69,831","1:2,543",0.00039323633503735744,1.0,1.0,0.0
466,467,100%,Ganiyu,"69,507","1:2,555",0.0003913894324853229,1.0,1.0,0.0
467,468,100%,Fausat,"69,129","1:2,569",0.00038925652004671076,1.0,1.0,0.0
468,469,100%,Sylvester,"68,996","1:2,574",0.0003885003885003885,1.0,1.0,0.0
469,470,100%,Ubong,"68,730","1:2,584",0.0003869969040247678,1.0,1.0,0.0
470,471,100%,Rukayya,"68,365","1:2,597",0.0003850596842510589,1.0,1.0,0.0
471,472,100%,Linda,"68,192","1:2,604",0.00038402457757296467,1.0,1.0,0.0
472,473,100%,Ejike,"68,154","1:2,605",0.00038387715930902113,1.0,1.0,0.0
473,474,100%,Catherine,"68,001","1:2,611",0.00038299502106472615,1.0,1.0,0.0
474,475,100%,Folake,"67,923","1:2,614",0.00038255547054322876,1.0,1.0,0.0
475,476,54% ,Ime,"67,461","1:2,632",0.00037993920972644377,0.54,0.54,0.45999999999999996
476,477,100%,Charlse,"67,314","1:2,638",0.0003790750568612585,1.0,1.0,0.0
477,478,73% ,Ayo,"67,033","1:2,649",0.00037750094375235937,0.73,0.73,0.27
478,479,100%,Jibril,"66,958","1:2,652",0.0003770739064856712,1.0,1.0,0.0
479,480,100%,Gideon,"66,898","1:2,654",0.00037678975131876413,1.0,1.0,0.0
480,481,99% ,Saadu,"66,687","1:2,663",0.0003755163349605708,0.99,0.99,0.010000000000000009
481,482,97% ,Mohammadu,"66,674","1:2,663",0.0003755163349605708,0.97,0.97,0.030000000000000027
482,483,98% ,Wisdom,"66,572","1:2,667",0.0003749531308586427,0.98,0.98,0.020000000000000018
483,484,100%,Folasade,"66,313","1:2,678",0.0003734129947722181,1.0,1.0,0.0
484,485,90% ,Chimezie,"66,306","1:2,678",0.0003734129947722181,0.9,0.9,0.09999999999999998
485,486,100%,Jeremiah,"66,217","1:2,682",0.0003728560775540641,1.0,1.0,0.0
486,487,100%,Kelvin,"66,171","1:2,683",0.0003727171077152441,1.0,1.0,0.0
487,488,100%,Anna,"65,936","1:2,693",0.0003713330857779428,1.0,1.0,0.0
488,489,100%,Aliu,"65,885","1:2,695",0.00037105751391465676,1.0,1.0,0.0
489,490,100%,Inuwa,"65,757","1:2,700",0.00037037037037037035,1.0,1.0,0.0
490,491, 92%,Olabisi,"65,426","1:2,714",0.00036845983787767134,0.92,0.92,0.07999999999999996
491,492,92% ,Etim,"65,370","1:2,716",0.0003681885125184094,0.92,0.92,0.07999999999999996
492,493, 63%,Endurance,"65,304","1:2,719",0.0003677822728944465,0.63,0.63,0.37
493,494,100%,Beauty,"65,220","1:2,723",0.0003672420124862284,1.0,1.0,0.0
494,495,100%,Abdulkarim,"65,117","1:2,727",0.0003667033370003667,1.0,1.0,0.0
495,496,100%,Balkisu,"65,103","1:2,727",0.0003667033370003667,1.0,1.0,0.0
496,497,58% ,Sola,"64,860","1:2,738",0.0003652300949598247,0.58,0.58,0.42000000000000004
497,498,100%,Basirat,"64,773","1:2,741",0.00036483035388544326,1.0,1.0,0.0
498,499, 68%,Mfon,"64,745","1:2,743",0.0003645643456069996,0.68,0.68,0.31999999999999995
499,500,100%,Kolawole,"64,463","1:2,755",0.0003629764065335753,1.0,1.0,0.0
500,501,100%,Ebuka,"64,193","1:2,766",0.00036153289949385393,1.0,1.0,0.0
501,502,100%,Boniface,"64,046","1:2,772",0.00036075036075036075,1.0,1.0,0.0
502,503,100%,Surajo,"63,970","1:2,776",0.00036023054755043225,1.0,1.0,0.0
503,504,100%,Afeez,"63,647","1:2,790",0.00035842293906810036,1.0,1.0,0.0
504,505,100%,Morgan,"63,611","1:2,791",0.00035829451809387314,1.0,1.0,0.0
505,506,100%,Tawa,"63,417","1:2,800",0.00035714285714285714,1.0,1.0,0.0
506,507,100%,Noble,"63,412","1:2,800",0.00035714285714285714,1.0,1.0,0.0
507,508,100%,Badamasi,"63,287","1:2,806",0.0003563791874554526,1.0,1.0,0.0
508,509,100%,Hammed,"63,228","1:2,808",0.00035612535612535614,1.0,1.0,0.0
509,510,100%,Sikiru,"63,002","1:2,818",0.00035486160397445,1.0,1.0,0.0
510,511,100%,Chibueze,"62,866","1:2,824",0.0003541076487252125,1.0,1.0,0.0
511,512,100%,Maureen,"62,718","1:2,831",0.00035323207347227127,1.0,1.0,0.0
512,513,71% ,Chibuzor,"62,621","1:2,836",0.0003526093088857546,0.71,0.71,0.29000000000000004
513,514,100%,Dupe,"62,506","1:2,841",0.00035198873636043646,1.0,1.0,0.0
514,515,87% ,Adeyemi,"62,474","1:2,842",0.0003518648838845883,0.87,0.87,0.13
515,516,100%,Abel,"62,424","1:2,844",0.00035161744022503517,1.0,1.0,0.0
516,517,97% ,Ayodeji,"62,131","1:2,858",0.0003498950314905528,0.97,0.97,0.030000000000000027
517,518,100%,Macdonald,"61,985","1:2,865",0.00034904013961605586,1.0,1.0,0.0
518,519,100%,Cosmos,"61,977","1:2,865",0.00034904013961605586,1.0,1.0,0.0
519,520,95% ,Eze,"61,716","1:2,877",0.0003475842891901286,0.95,0.95,0.050000000000000044
520,521, 99%,Onyinye,"61,626","1:2,881",0.0003471017007983339,0.99,0.99,0.010000000000000009
521,522,85% ,Mamman,"61,359","1:2,894",0.0003455425017277125,0.85,0.85,0.15000000000000002
522,523,100%,Mark,"61,192","1:2,902",0.00034458993797381116,1.0,1.0,0.0
523,524,100%,Nafisat,"61,023","1:2,910",0.0003436426116838488,1.0,1.0,0.0
524,525,100%,Bashar,"60,962","1:2,913",0.00034328870580157915,1.0,1.0,0.0
525,526,100%,Nasir,"60,715","1:2,925",0.0003418803418803419,1.0,1.0,0.0
526,527,100%,Sandra,"60,683","1:2,926",0.0003417634996582365,1.0,1.0,0.0
527,528,100%,Onyewuchi,"60,621","1:2,929",0.0003414134516899966,1.0,1.0,0.0
528,529,100%,Sadi,"60,398","1:2,940",0.0003401360544217687,1.0,1.0,0.0
529,530,100%,Hafsatu,"60,311","1:2,944",0.00033967391304347825,1.0,1.0,0.0
530,531,100%,Georgewill,"60,252","1:2,947",0.00033932813030200206,1.0,1.0,0.0
531,532,100%,Bitrus,"60,238","1:2,948",0.00033921302578018993,1.0,1.0,0.0
532,533, 68%,Yemi,"60,190","1:2,950",0.00033898305084745765,0.68,0.68,0.31999999999999995
533,534,100%,Ogbonda,"60,155","1:2,952",0.00033875338753387534,1.0,1.0,0.0
534,535,100%,Hawau,"60,076","1:2,956",0.00033829499323410016,1.0,1.0,0.0
535,536,100%,Raphael,"60,000","1:2,959",0.0003379520108144643,1.0,1.0,0.0
536,537,100%,Njobuanwu,"59,974","1:2,961",0.00033772374197906115,1.0,1.0,0.0
537,538,100%,Azunwena,"59,967","1:2,961",0.00033772374197906115,1.0,1.0,0.0
538,539,100%,Iheoma,"59,912","1:2,964",0.00033738191632928474,1.0,1.0,0.0
539,540,100%,Danlami,"59,903","1:2,964",0.00033738191632928474,1.0,1.0,0.0
540,541,100%,Fatsuma,"59,899","1:2,964",0.00033738191632928474,1.0,1.0,0.0
541,542,100%,Olufemi,"59,850","1:2,967",0.0003370407819346141,1.0,1.0,0.0
542,543,100%,Adeniyi,"59,699","1:2,974",0.0003362474781439139,1.0,1.0,0.0
543,544,100%,Rhoda,"59,626","1:2,978",0.000335795836131632,1.0,1.0,0.0
544,545,100%,Tanimu,"59,429","1:2,988",0.00033467202141900936,1.0,1.0,0.0
545,546,100%,Dorathy,"59,400","1:2,989",0.00033456005352960856,1.0,1.0,0.0
546,547, 98%,Aina,"59,390","1:2,990",0.00033444816053511704,0.98,0.98,0.020000000000000018
547,548,100%,Chiamaka,"58,916","1:3,014",0.00033178500331785003,1.0,1.0,0.0
548,549,100%,Mabel,"58,824","1:3,019",0.0003312355084465055,1.0,1.0,0.0
549,550, 88%,Olubunmi,"58,803","1:3,020",0.00033112582781456954,0.88,0.88,0.12
550,551,100%,Eucharia,"58,794","1:3,020",0.00033112582781456954,1.0,1.0,0.0
551,552,100%,Judith,"58,740","1:3,023",0.0003307972213033411,1.0,1.0,0.0
552,553,100%,Risikat,"58,720","1:3,024",0.00033068783068783067,1.0,1.0,0.0
553,554,100%,Titus,"58,712","1:3,024",0.00033068783068783067,1.0,1.0,0.0
554,555,100%,Asabe,"58,607","1:3,030",0.00033003300330033004,1.0,1.0,0.0
555,556,100%,Omolola,"58,487","1:3,036",0.00032938076416337287,1.0,1.0,0.0
556,557,100%,Waheed,"58,408","1:3,040",0.0003289473684210526,1.0,1.0,0.0
557,558, 63%,Alaba,"58,349","1:3,043",0.00032862306933946765,0.63,0.63,0.37
558,559,100%,Cletus,"57,683","1:3,078",0.0003248862897985705,1.0,1.0,0.0
559,560,100%,Dennis,"57,629","1:3,081",0.0003245699448231094,1.0,1.0,0.0
560,561,100%,Sagir,"57,615","1:3,082",0.0003244646333549643,1.0,1.0,0.0
561,562,100%,Magret,"57,566","1:3,085",0.00032414910858995135,1.0,1.0,0.0
562,563,98% ,Thankgod,"57,541","1:3,086",0.0003240440699935191,0.98,0.98,0.020000000000000018
563,564,100%,Tanko,"57,314","1:3,098",0.00032278889606197545,1.0,1.0,0.0
564,565,100%,Ernest,"57,211","1:3,104",0.00032216494845360824,1.0,1.0,0.0
565,566,100%,Edwin,"57,191","1:3,105",0.00032206119162640903,1.0,1.0,0.0
566,567,100%,Martina,"57,104","1:3,109",0.000321646831778707,1.0,1.0,0.0
567,568,100%,Fatimoh,"56,760","1:3,128",0.00031969309462915604,1.0,1.0,0.0
568,569,100%,Sherifat,"56,695","1:3,132",0.00031928480204342275,1.0,1.0,0.0
569,570,100%,Simeon,"56,646","1:3,135",0.0003189792663476874,1.0,1.0,0.0
570,571,100%,Dominic,"56,624","1:3,136",0.00031887755102040814,1.0,1.0,0.0
571,572,100%,Isaiah,"56,564","1:3,139",0.00031857279388340236,1.0,1.0,0.0
572,573,100%,Abayomi,"56,514","1:3,142",0.00031826861871419476,1.0,1.0,0.0
573,574,60% ,Oluwaseyi,"56,177","1:3,161",0.00031635558367605187,0.6,0.6,0.4
574,575,81% ,Sada,"56,044","1:3,168",0.0003156565656565657,0.81,0.81,0.18999999999999995
575,576,100%,Kelachi,"56,003","1:3,171",0.000315357931251971,1.0,1.0,0.0
576,577,52% ,Uzoma,"55,921","1:3,175",0.00031496062992125983,0.52,0.52,0.48
577,578,100%,Chizorum,"55,899","1:3,177",0.0003147623544224111,1.0,1.0,0.0
578,579,75% ,Bamidele,"55,191","1:3,217",0.00031084861672365556,0.75,0.75,0.25
579,580,100%,Taofeek,"55,131","1:3,221",0.0003104625892579944,1.0,1.0,0.0
580,581,100%,Bulus,"55,069","1:3,224",0.00031017369727047146,1.0,1.0,0.0
581,582, 71%,Tolulope,"55,056","1:3,225",0.000310077519379845,0.71,0.71,0.29000000000000004
582,583,62% ,Udeme,"54,798","1:3,240",0.00030864197530864197,0.62,0.62,0.38
583,584,100%,Funmilola,"54,289","1:3,271",0.0003057169061449098,1.0,1.0,0.0
584,585,86% ,Ummaru,"54,046","1:3,285",0.00030441400304414006,0.86,0.86,0.14
585,586,100%,Safiyanu,"53,889","1:3,295",0.00030349013657056146,1.0,1.0,0.0
586,587,100%,Modinat,"53,721","1:3,305",0.000302571860816944,1.0,1.0,0.0
587,588,100%,Ugochi,"53,609","1:3,312",0.00030193236714975844,1.0,1.0,0.0
588,589,97% ,Bawa,"53,518","1:3,318",0.0003013863773357444,0.97,0.97,0.030000000000000027
589,590,74% ,Goodluck,"53,466","1:3,321",0.00030111412225233364,0.74,0.74,0.26
590,591,100%,Nike,"53,394","1:3,326",0.0003006614552014432,1.0,1.0,0.0
591,592,100%,Abdulaziz,"53,361","1:3,328",0.00030048076923076925,1.0,1.0,0.0
592,593,100%,Muritala,"53,231","1:3,336",0.00029976019184652276,1.0,1.0,0.0
593,594, 62%,Omotayo,"52,952","1:3,353",0.00029824038174768865,0.62,0.62,0.38
594,595,100%,Francisca,"52,891","1:3,357",0.0002978850163836759,1.0,1.0,0.0
595,596,91% ,Olanrewaju,"52,746","1:3,366",0.00029708853238265005,0.91,0.91,0.08999999999999997
596,597,100%,Faruk,"52,705","1:3,369",0.00029682398337785694,1.0,1.0,0.0
597,598,100%,Jumoke,"52,699","1:3,369",0.00029682398337785694,1.0,1.0,0.0
598,599, 69%,Happy,"52,586","1:3,377",0.0002961208172934557,0.69,0.69,0.31000000000000005
599,600,97% ,Malam,"52,538","1:3,380",0.0002958579881656805,0.97,0.97,0.030000000000000027
600,601, 95%,Ndidi,"52,524","1:3,381",0.0002957704821058858,0.95,0.95,0.050000000000000044
601,602,100%,Oliver,"52,490","1:3,383",0.0002955956251847473,1.0,1.0,0.0
602,603,100%,Martins,"52,305","1:3,395",0.0002945508100147275,1.0,1.0,0.0
603,604,100%,Ann,"52,127","1:3,406",0.0002935995302407516,1.0,1.0,0.0
604,605, 69%,Olayemi,"52,068","1:3,410",0.0002932551319648094,0.69,0.69,0.31000000000000005
605,606,100%,Abdulhamid,"51,732","1:3,432",0.0002913752913752914,1.0,1.0,0.0
606,607, 62%,Taye,"51,520","1:3,447",0.0002901073397156948,0.62,0.62,0.38
607,608,100%,Zara,"51,485","1:3,449",0.00028993911278631486,1.0,1.0,0.0
608,609,99% ,Olumide,"51,426","1:3,453",0.0002896032435563278,0.99,0.99,0.010000000000000009
609,610,100%,Haladu,"51,294","1:3,462",0.00028885037550548814,1.0,1.0,0.0
610,611,100%,Farida,"51,247","1:3,465",0.0002886002886002886,1.0,1.0,0.0
611,612,100%,Nelson,"51,188","1:3,469",0.0002882675122513693,1.0,1.0,0.0
612,613,100%,Ronke,"51,067","1:3,477",0.0002876042565429968,1.0,1.0,0.0
613,614,51% ,Bolaji,"50,970","1:3,484",0.0002870264064293915,0.51,0.51,0.49
614,615,54% ,Shola,"50,889","1:3,489",0.00028661507595299513,0.54,0.54,0.45999999999999996
615,616,100%,Sakirat,"50,769","1:3,497",0.00028595939376608524,1.0,1.0,0.0
616,617,100%,Margret,"50,719","1:3,501",0.00028563267637817766,1.0,1.0,0.0
617,618,100%,Tijani,"50,714","1:3,501",0.00028563267637817766,1.0,1.0,0.0
618,619, 61%,Olamide,"50,653","1:3,506",0.0002852253280091272,0.61,0.61,0.39
619,620,100%,Love,"50,595","1:3,510",0.0002849002849002849,1.0,1.0,0.0
620,621, 99%,Umma,"50,467","1:3,518",0.0002842524161455372,0.99,0.99,0.010000000000000009
621,622,100%,Luka,"50,398","1:3,523",0.0002838489923360772,1.0,1.0,0.0
622,623,66% ,Chibuzo,"50,387","1:3,524",0.00028376844494892167,0.66,0.66,0.33999999999999997
623,624,98% ,Celestine,"50,302","1:3,530",0.00028328611898016995,0.98,0.98,0.020000000000000018
624,625,99% ,Hashimu,"50,204","1:3,537",0.0002827254735651682,0.99,0.99,0.010000000000000009
625,626,100%,Mamuda,"50,113","1:3,543",0.0002822466836014677,1.0,1.0,0.0
626,627,100%,Hannatu,"50,007","1:3,551",0.000281610813855252,1.0,1.0,0.0
627,628,100%,Mike,"49,827","1:3,564",0.0002805836139169473,1.0,1.0,0.0
628,629,100%,Muntari,"49,760","1:3,568",0.0002802690582959641,1.0,1.0,0.0
629,630, 70%,Odunayo,"49,679","1:3,574",0.0002797985450475658,0.7,0.7,0.30000000000000004
630,631, 80%,Busayo,"49,645","1:3,577",0.0002795638803466592,0.8,0.8,0.19999999999999996
631,632,100%,Abdulrahaman,"49,617","1:3,579",0.0002794076557697681,1.0,1.0,0.0
632,633,100%,Rukaiya,"49,593","1:3,580",0.00027932960893854746,1.0,1.0,0.0
633,634,100%,Susan,"49,413","1:3,593",0.00027831895352073476,1.0,1.0,0.0
634,635,100%,Rafiu,"49,386","1:3,595",0.0002781641168289291,1.0,1.0,0.0
635,636,100%,Philomina,"49,375","1:3,596",0.00027808676307007786,1.0,1.0,0.0
636,637,99% ,Ummar,"49,363","1:3,597",0.00027800945232137893,0.99,0.99,0.010000000000000009
637,638,99% ,Halilu,"49,269","1:3,604",0.0002774694783573807,0.99,0.99,0.010000000000000009
638,639,100%,Hindatu,"49,117","1:3,615",0.00027662517289073305,1.0,1.0,0.0
639,640,100%,Arit,"48,845","1:3,635",0.0002751031636863824,1.0,1.0,0.0
640,641,100%,Ishaku,"48,783","1:3,640",0.0002747252747252747,1.0,1.0,0.0
641,642,100%,Halimat,"48,696","1:3,646",0.00027427317608337906,1.0,1.0,0.0
642,643,100%,Nancy,"48,562","1:3,656",0.0002735229759299781,1.0,1.0,0.0
643,644,100%,Affiong,"48,469","1:3,663",0.000273000273000273,1.0,1.0,0.0
644,645,100%,Naziru,"48,462","1:3,664",0.0002729257641921397,1.0,1.0,0.0
645,646,100%,Sodiq,"48,457","1:3,664",0.0002729257641921397,1.0,1.0,0.0
646,647,100%,Serah,"48,438","1:3,666",0.00027277686852154935,1.0,1.0,0.0
647,648,100%,Serifat,"48,430","1:3,666",0.00027277686852154935,1.0,1.0,0.0
648,649,100%,Tony,"48,428","1:3,667",0.0002727024815925825,1.0,1.0,0.0
649,650,100%,Abdulazeez,"48,423","1:3,667",0.0002727024815925825,1.0,1.0,0.0
650,651,100%,Jerry,"48,312","1:3,675",0.00027210884353741496,1.0,1.0,0.0
651,652,100%,Rufai,"48,234","1:3,681",0.00027166530834012495,1.0,1.0,0.0
652,653,100%,Zuwaira,"48,229","1:3,682",0.00027159152634437803,1.0,1.0,0.0
653,654,100%,Dare,"48,225","1:3,682",0.00027159152634437803,1.0,1.0,0.0
654,655,100%,Oluwasegun,"48,206","1:3,683",0.00027151778441487917,1.0,1.0,0.0
655,656,100%,Mansir,"48,010","1:3,698",0.00027041644131963225,1.0,1.0,0.0
656,657,100%,Mojisola,"47,840","1:3,712",0.00026939655172413793,1.0,1.0,0.0
657,658,100%,Israel,"47,829","1:3,712",0.00026939655172413793,1.0,1.0,0.0
658,659,100%,Donatus,"47,773","1:3,717",0.0002690341673392521,1.0,1.0,0.0
659,660, 58%,Sa,"47,650","1:3,726",0.00026838432635534085,0.58,0.58,0.42000000000000004
660,661,100%,Ramota,"47,511","1:3,737",0.0002675943270002676,1.0,1.0,0.0
